imo,before,after
9037123,725.25,800.3333333333334
9164718,885.0,1448.0
9213296,448.5,793.0
9224453,1333.0,652.5
9233777,1083.6666666666667,601.6666666666666
9236248,904.75,224.57142857142858
9274525,799.8,1283.0
9282481,844.0,453.1666666666667
9290373,1254.0,394.25
9292199,1270.0,319.25
9296377,687.0,970.25
9297541,1918.5,974.0
9299707,1262.0,369.75
9306809,0.0,1733.3333333333333
9311610,0.0,2654.5
9321718,1313.0,529.5
9328170,1888.0,244.66666666666666
9333577,0.0,4591.0
9337341,0.0,4932.0
9347308,1319.0,1231.0
9358412,82.0,4804.0
9384564,459.3333333333333,990.5
9389071,1076.5,2655.0
9389083,1556.0,1690.5
9402328,3.0,2532.5
9408190,252.5,1518.0
9408683,421.6666666666667,1849.5
9412452,1228.5,715.75
9419450,593.5,1387.0
9430272,1345.0,826.3333333333334
9436020,1796.0,2931.0
9439383,1864.5,791.5
9439539,0.0,1687.0
9460564,1638.0,1563.0
9472634,406.6666666666667,3618.0
9621596,0.0,2914.0
9645035,0.0,3977.0
