imo,shipname,flag,ssvid,match_fields,transmission_from,transmission_to,is_verified,days_since_last_update
9037123,ZHONGGANGDALIAN,CHN,413366530,REGISTRY,2015-05-26 10:38:39+00:00,2019-12-14T08:37:28Z,True,
9037123,LIAOYINGYU 35669,,415555555,NO_MATCH,2018-12-14 18:03:42+00:00,2022-09-21T08:08:42.25Z,False,1298.0
9037123,ZHONG GANG DA LIAN,MHL,538090558,NO_MATCH,2019-12-14 09:12:33+00:00,2021-09-29T22:51:17Z,False,364.0
9037123,AS CALCUTTA,PAN,352004240,NO_MATCH,2024-07-24 02:26:50+00:00,2026-02-08T04:25:42Z,False,1683.0
9037123,SC CUTTA,CMR,613471041,NO_MATCH,2026-02-12 02:16:13+00:00,2026-07-13T06:12:52Z,False,567.0
9037123,CUTTA,NIC,350375000,NO_MATCH,2026-07-13 07:06:06+00:00,2026-08-08T04:22:27Z,False,151.0
9046564,ANTARES,RUS,273299020,REGISTRY,2021-04-13 08:36:12+00:00,2026-06-30T13:33:26Z,False,
9164718,TRANSHOLM,MLT,249913000,REGISTRY,2016-11-23 11:05:42+00:00,2024-06-07T07:40:04Z,True,
9164718,THOTH,LBR,636024220,NO_MATCH,2024-06-07 07:45:35+00:00,2024-10-29T07:40:46Z,False,2752.0
9164718,THOTH,RUS,273253080,NO_MATCH,2024-10-29 09:08:33+00:00,2026-08-05T17:30:29Z,False,144.0
9213296,SEAWAYSSHIRLEY,MHL,538004852,REGISTRY,2017-10-02 21:34:28+00:00,2018-11-01T14:10:29Z,True,
9213296,US SHIRLEY,COM,620321000,NO_MATCH,2018-11-02 02:54:00+00:00,2018-12-01T07:41:09Z,False,395.0
9213296,SHIRLEY,LBR,636019026,NO_MATCH,2018-12-01 07:58:07+00:00,2019-06-12T23:58:13Z,False,29.0
9213296,BRIGHTSONIA,PAN,351660000,REGISTRY,2019-05-18 08:39:13+00:00,2024-10-02T11:38:42Z,False,168.0
9213296,TELESTO,GIN,632001104,NO_MATCH,2024-10-02 12:46:42+00:00,2025-01-09T03:24:35Z,False,1964.0
9213296,TELESTO,BRB,314001023,NO_MATCH,2025-01-09 03:28:03+00:00,2025-11-22T10:48:56Z,False,98.0
9213296,TELESTO,PLW,511101917,NO_MATCH,2025-11-22 20:29:06+00:00,2026-08-15T23:51:19Z,False,317.0
9224453,MARS A,PLW,511100876,REGISTRY,2022-12-13 13:20:21+00:00,2024-06-04T03:23:44Z,False,
9224453,TRACOS,SMR,268263502,NO_MATCH,2026-07-11 18:36:29+00:00,2026-08-15T23:52:56Z,False,1306.0
9233777,BACALIAROS,DEU,538006540,REGISTRY,2015-09-11 03:42:50+00:00,2020-12-01T14:20:05Z,True,
9233777,AMETHYST MTS,CYP,210110000,NO_MATCH,2020-12-01 14:42:04+00:00,2023-08-15T21:25:23Z,False,1908.0
9233777,AMETHYST MTS,LBR,636023136,NO_MATCH,2023-08-15 21:51:57+00:00,2024-05-25T01:23:18Z,False,987.0
9233777,OCEAN II,ATG,305203000,NO_MATCH,2024-05-02 17:29:40+00:00,2025-11-12T13:52:44Z,False,260.0
9233777,OCEAN II,CMR,613661401,NO_MATCH,2025-11-12 13:39:47+00:00,2026-08-15T23:56:58Z,False,558.0
9236248,MINERVAZENIA,GRC,374635000,REGISTRY,2021-01-04 05:31:34+00:00,2022-08-07T16:03:06Z,True,
9236248,PHOENIX1,COK,518999317,REGISTRY,2024-10-09 07:58:03+00:00,2025-03-20T10:48:28Z,False,1374.0
9236248,FENGHUANG,BES,306100000,NO_MATCH,2025-03-20 10:49:25+00:00,2025-05-06T11:01:16Z,False,162.0
9236248,FENGHUANG,COM,620999873,NO_MATCH,2025-05-06 11:06:09+00:00,2026-01-07T05:40:18Z,False,47.0
9236248,FENGHUANG,MDG,647553034,NO_MATCH,2026-01-07 05:36:59+00:00,2026-03-04T16:56:24Z,False,245.0
