imo,source,shipname,flag,ssvid,match_fields,transmission_from,transmission_to,is_verified
9328170,registry,AETHER,PAN,352002230,REGISTRY,2023-01-23T14:38:25Z,2025-10-06T11:09:01Z,False
9328170,self_reported,AETHER,PAN,352002230,SEVERAL_FIELDS,2023-01-23T14:37:09Z,2025-11-02T11:08:24Z,True
9328170,registry,WAFRAH,KWT,447162000,REGISTRY,2012-01-08T14:12:44Z,2022-05-10T11:17:25Z,True
9328170,self_reported,WAFRAH,KWT,447162000,SEVERAL_FIELDS,2012-01-06T10:49:54Z,2022-05-10T11:22:29.7Z,True
9328170,self_reported,AETHER,MDG,647553007,NO_MATCH,2026-03-14T15:43:17Z,2026-05-19T14:51:02Z,False
9328170,self_reported,AETHER,CMR,613442803,NO_MATCH,2026-05-20T08:24:58Z,2026-09-08T23:19:30Z,False
9328170,self_reported,AETHER,CMR,613442802,NO_MATCH,2026-05-19T14:56:47Z,2026-05-20T07:55:53Z,False
9328170,self_reported,LILA FUJAIRAH,LBR,636021839,NO_MATCH,2022-05-10T11:31:35.73Z,2023-02-18T05:12:21Z,False
9328170,self_reported,AETHER,GIN,632001155,NO_MATCH,2025-10-06T11:17:25Z,2026-03-14T15:49:37Z,False
9282481,registry,BRITISHGANNET,IMN,232150000,REGISTRY,2012-01-13T03:59:15Z,2018-12-12T13:10:10Z,True
9282481,self_reported,BRITISH GANNET,GBR,232150000,SEVERAL_FIELDS,2012-01-04T17:14:53Z,2018-12-12T13:07:00Z,True
9282481,registry,TAGOR,PAN,352002249,REGISTRY,2024-07-06T08:23:17Z,2025-09-12T05:12:57Z,False
9282481,self_reported,TAGOR,PAN,352002249,SEVERAL_FIELDS,2023-01-18T01:58:22Z,2025-09-22T06:28:48Z,True
9282481,self_reported,PIPER,MHL,538008199,NO_MATCH,2018-12-12T13:16:50Z,2023-02-04T23:21:30Z,False
9282481,self_reported,FRENCH NAVY WARSHIP,FRA,228741000,NO_MATCH,2012-03-13T17:13:44Z,2012-03-21T06:01:13Z,False
9282481,self_reported,TAGOR,MDG,647260300,NO_MATCH,2026-03-17T05:45:02Z,2026-05-26T08:33:12Z,False
9282481,self_reported,TAGOR,GIN,632001144,NO_MATCH,2025-09-15T11:54:24Z,2026-03-17T05:41:01Z,False
9282481,self_reported,TAGOR,CMR,613442790,NO_MATCH,2026-05-26T10:02:57Z,2026-08-15T08:39:18Z,False
9282481,self_reported,PRIAPUS,NIC,350002249,NO_MATCH,2023-04-03T12:56:44Z,2023-06-11T06:36:00Z,False
9236248,registry,MINERVAZENIA,GRC,374635000,REGISTRY,2021-01-04T05:31:34Z,2022-08-07T16:03:06Z,True
9236248,self_reported,PHOENIX I,PAN,374635000,SEVERAL_FIELDS,2020-10-24T21:52:09Z,2025-02-03T03:02:03Z,True
9236248,self_reported,PHOENIXI,PAN,374635000,SEVERAL_FIELDS,2021-11-29T15:03:04.64Z,2021-12-11T04:09:23.3Z,True
9236248,self_reported,MINERVA ZENIA,GRC,240014000,SEVERAL_FIELDS,2012-01-01T00:29:53Z,2020-10-24T00:55:16Z,True
9236248,self_reported,MINERVA ZENIA,GRC,240014000,SEVERAL_FIELDS,2017-08-07T04:11:28Z,2020-05-28T07:53:04Z,True
9236248,registry,PHOENIX1,COK,518999317,REGISTRY,2024-10-09T07:58:03Z,2025-03-20T10:48:28Z,False
9236248,self_reported,PHOENIX I,COK,518999317,SEVERAL_FIELDS,2024-10-09T07:59:23Z,2025-03-20T10:45:27Z,True
