imo,found,current_name,current_flag,num_total_identities,num_registry_records,num_self_reported,num_verified_identities,num_unique_flags,has_flag_discrepancy
9328170,True,AETHER,CMR,9,2,7,3,6,True
9282481,True,TAGOR,CMR,10,2,8,3,9,True
9236248,True,FENGHUANG,MOZ,12,2,10,6,8,True
9439383,True,ONIKS,RUS,5,1,4,2,4,True
9311610,True,TORX,GNQ,4,1,3,2,3,True
9472634,True,AURA 1,PAN,5,1,4,4,3,True
9460564,True,BALU 6,PAN,4,1,3,3,3,True
9419450,True,MORGANIT,RUS,6,1,5,3,4,True
9299707,True,GUANYIN,CMR,8,3,5,4,4,True
9296377,True,MARJORIE,SLE,7,1,6,3,6,True
9224453,True,TRACOS,SMR,6,1,5,4,5,True
9408542,True,TONG TU,SLE,4,1,3,3,4,True
9408190,True,SAMOS,CMR,6,1,5,3,5,True
9439539,True,BOLU,CMR,5,1,4,2,4,True
9436020,True,CENTURION I,PAN,3,1,2,2,2,True
9213296,True,TELESTO,PLW,10,2,8,4,8,True
9297541,True,DOVE,PAN,4,1,3,2,3,True
9412452,True,TSOIZIT,RUS,7,1,6,2,6,True
9384564,True,KRYSTALOS,LBR,8,1,7,3,5,True
9358412,True,TIGER WINGS,PAN,3,1,2,2,2,True
9408683,True,ZHUO YUAN,PAN,6,1,5,3,4,True
9389071,True,TANGO 2,PAN,4,1,3,2,3,True
9389083,True,TIGER 6,PAN,4,1,3,4,3,True
9402328,True,SARA SKY,SLE,4,1,3,2,3,True
9337341,True,OCEANID,PAN,3,1,2,2,2,True
9233777,True,OCEAN II,CMR,7,1,6,3,6,True
9821469,True,LACHIN,AZE,2,1,1,1,1,False
9274525,True,CL SAPPHIRE,MHL,7,2,5,5,3,True
9306809,True,LAYLA,CMR,5,1,4,2,4,True
9037123,True,CUTTA,NIC,8,1,7,3,5,True
9430272,True,JIN HUI,SYR,6,1,5,2,5,True
9321718,True,ORVI,COM,6,2,4,3,4,True
9333577,True,ARKTIDA,RUS,3,1,2,3,1,False
9645023,True,VF TANKER-13,RUS,2,1,1,2,1,False
9645009,True,PROFESSOR MALYSHKIN,RUS,2,1,1,2,1,False
9164718,True,THOTH,RUS,5,1,4,3,4,True
9735141,True,MIDVOLGA-3,RUS,3,1,2,2,2,True
9046564,True,ANTARES,RUS,4,1,3,3,3,True
9503304,True,GENERAL SKOBELEV,RUS,2,1,1,1,1,False
9690212,True,STALINGRAD,RUS,2,1,1,2,1,False
9612909,True,ALEKSANDR SHEMAGIN,RUS,2,1,1,2,1,False
9292199,True,929-21%-99%,,8,1,7,2,6,True
9347308,True,AURA MARIS,CMR,5,1,4,2,5,True
9290373,True,RAVELIN,RUS,8,1,7,2,7,True
9867621,True,KHANKENDI,AZE,3,1,2,2,2,True
9621596,True,STANISLAV GOVORUKHIN,RUS,3,1,2,2,2,True
9645047,True,VF TANKER-15,RUS,2,1,1,2,1,False
9884150,True,SERGEY LVOV,RUS,2,0,2,0,1,True
9640580,True,CONSTR.ZHIVOTOVSKY,RUS,2,1,1,2,1,False
9645035,True,PAVEL BRYULLOV,RUS,3,1,2,3,1,False
